"I want to go white water rafting", Paddling
"I want to take my family white water rafting", Paddling
"I want to learn about white water rafting", Paddling
"Teach me about white water rafting", Paddling
"I want to go river rafting", Paddling
"I want to take my family river rafting", Paddling
"I want to learn about river rafting", Paddling
"Teach me about river rafting", Paddling
"I want to go river kayaking", Paddling
"I want to take my family kayaking", Paddling
"I want to learn about kayaking", Paddling
"Teach me about kayaking", Paddling
"I want to take pictures",Photography
"I want to take pictures of beautiful places",Photography
"I want to show my family pictures of my travels",Photography
"I want to take my family to beautiful places",Photography
"I want to go on a cruise", Photography
"I want to take my family on a cruise", Photography
"I want to go on a safari", Photography
"I want to take my family on a safari", Photography
"I want my family to see amazing animals", Photography
"I want my family to see exotic places", Photography
"I want my family to see the world", Photography
"I want to go skiing",Snowsports
"I want to take my family skiing",Snowsports
"I want to take my spouse skiing",Snowsports
"I want to go snowboarding",Snowsports
"I want to take my family snowboarding",Snowsports
"I want to take my spouse snowboarding",Snowsports
"I want to go sledding",Snowsports
"I want to go snowshoeing", Snowsports
"I want to take my family snowshoeing", Snowsports
"I want to use my snowshoes", Snowsports
"I want to help the world",Stewardship
"I want to help nature",Stewardship
"I want to help the earth",Stewardship
"I want to save the world",Stewardship
"I want to save nature",Stewardship
"I want to save the earth",Stewardship
"I want to be a good camper",Stewardship
"I want to be a responsible camper",Stewardship
"I want to be a responsible outdoorsman",Stewardship
"I want to teach my kids how to save the world",Stewardship
"I want to teach my kids how to help the planet",Stewardship
"I want to teach my kids how to help nature",Stewardship
"I want to teach my kids how to help the earth",Stewardship
"I want to teach my kids how to be good campers",Stewardship
"I want to teach my kid how to be a responsible camper",Stewardship
"I want to teach my kids how to be responsible outdoors",Stewardship
"Teach my children how to help the world",Stewardship
"Teach my children how to help nature",Stewardship
"Teach my children how to help the earth",Stewardship
"I want my children to learn to be good campers",Stewardship
"I want my children to learn to be a responsible campers",Stewardship
"I want my children to learn to be responsible outdoors",Stewardship
"Teach me how dress a wound",Medicine
"I want to learn how to dress a wound",Medicine
"Teach me how survive in the wilderness",Medicine
"Teach me about surviving wilderness",Medicine
"Teach my family about surviving wilderness",Medicine
"Teach my family how cure sickness in the wilderness",Medicine
"Teach me what to do if I get sick in the wilderness",Medicine
"Teach me what to do if I get hurt while backpacking",Medicine
"Learn what to do if I get sick while backpacking",Medicine
"Learn what to do if someone gets hurt while camping",Medicine
"I want to learn what to do if someone gets hurt while camping",Medicine
"I want to learn what to do if someone gets hurt while trekking",Medicine
"I want to learn what to do if someone gets hurt in the wilde",Medicine
